Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1978,1978-09-02,23.024,1.0,5.0,20.0,9.0,0.0,1.0,0.0,,,1.8,-7.2
1978,1978-09-17,23.039,5.0,19.0,26.32,63.0,1.0,0.0,58.4,,,3.32,4.37
1978,1978-09-24,23.046,6.0,23.0,26.09,74.0,1.0,0.0,55.0,1.0,13.0,3.22,4.09
1978,1978-10-01,23.053,16.0,35.0,45.71,311.0,1.0,3.0,51.0,2.0,28.0,8.89,5.6
1978,1978-10-08,23.06,14.0,23.0,60.87,226.0,1.0,0.0,108.2,,,9.83,10.7
1978,1978-10-15,23.066999999999997,7.0,27.0,25.93,100.0,0.0,2.0,11.7,,,3.7,0.37
1978,1978-10-22,23.074,11.0,19.0,57.89,180.0,2.0,1.0,103.0,1.0,7.0,9.47,9.21
1978,1978-10-29,23.081,5.0,17.0,29.41,98.0,0.0,1.0,26.6,,,5.76,3.12
1978,1978-11-05,23.088,1.0,4.0,25.0,13.0,0.0,0.0,40.6,,,3.25,3.25
1978,1978-12-17,23.13,7.0,22.0,31.82,96.0,1.0,0.0,61.9,2.0,21.0,4.36,5.27
1979,1979-09-01,24.023000000000003,4.0,16.0,25.0,99.0,2.0,0.0,92.4,,,6.19,8.69
1979,1979-09-09,24.031,10.0,29.0,34.48,196.0,2.0,2.0,53.2,,,6.76,5.03
1979,1979-09-16,24.038,12.0,24.0,50.0,132.0,1.0,1.0,63.2,,,5.5,4.46
1979,1979-09-23,24.045,5.0,20.0,25.0,101.0,2.0,1.0,60.6,,,5.05,4.8
1979,1979-09-30,24.052,14.0,31.0,45.16,168.0,1.0,2.0,46.2,1.0,9.0,5.42,3.16
1979,1979-10-07,24.059,14.0,38.0,36.84,182.0,2.0,3.0,37.4,,,4.79,2.29
1979,1979-10-14,24.066,10.0,28.0,35.71,142.0,1.0,2.0,35.1,,,5.07,2.57
1979,1979-10-21,24.073,6.0,10.0,60.0,85.0,2.0,0.0,127.1,,,8.5,12.5
1979,1979-10-28,24.08,12.0,25.0,48.0,267.0,0.0,0.0,86.6,1.0,9.0,10.68,10.68
1979,1979-11-04,24.087,11.0,24.0,45.83,198.0,1.0,1.0,71.2,1.0,4.0,8.25,7.21
1979,1979-11-11,24.094,17.0,34.0,50.0,182.0,1.0,1.0,63.6,,,5.35,4.62
1979,1979-11-18,24.101,12.0,24.0,50.0,176.0,2.0,0.0,102.1,,,7.33,9.0
1979,1979-11-25,24.108,19.0,38.0,50.0,242.0,0.0,0.0,70.3,,,6.37,6.37
1979,1979-12-02,24.115,5.0,19.0,26.32,60.0,0.0,4.0,0.7,2.0,19.0,3.16,-6.32
1979,1979-12-09,24.122,10.0,24.0,41.67,167.0,1.0,5.0,40.1,1.0,10.0,6.96,-1.58
1979,1979-12-16,24.129,5.0,13.0,38.46,51.0,0.0,2.0,10.9,1.0,6.0,3.92,-3.0
1980,1980-09-07,25.029,11.0,21.0,52.38,155.0,2.0,0.0,108.2,,,7.38,9.29
1980,1980-09-11,25.033,10.0,23.0,43.48,97.0,0.0,1.0,37.8,2.0,14.0,4.22,2.26
1980,1980-09-21,25.043000000000003,17.0,30.0,56.67,258.0,1.0,2.0,68.5,2.0,20.0,8.6,6.27
1980,1980-09-28,25.05,30.0,56.0,53.57,343.0,3.0,2.0,75.2,1.0,6.0,6.13,5.59
1980,1980-10-06,25.058000000000003,9.0,28.0,32.14,89.0,0.0,0.0,42.1,4.0,39.0,3.18,3.18
1980,1980-10-12,25.064,6.0,24.0,25.0,103.0,0.0,0.0,45.0,3.0,21.0,4.29,4.29
1980,1980-10-19,25.070999999999998,16.0,28.0,57.14,142.0,1.0,2.0,53.0,1.0,16.0,5.07,2.57
1980,1980-10-26,25.078000000000003,10.0,18.0,55.56,89.0,0.0,1.0,45.8,,,4.94,2.44
1980,1980-11-02,25.085,13.0,25.0,52.0,163.0,1.0,0.0,85.9,3.0,28.0,6.52,7.32
1980,1980-11-09,25.092,21.0,45.0,46.67,302.0,3.0,1.0,81.9,1.0,8.0,6.71,7.04
1980,1980-11-16,25.099,30.0,55.0,54.55,486.0,4.0,2.0,93.4,,,8.84,8.65
1980,1980-11-23,25.105999999999998,18.0,34.0,52.94,171.0,1.0,1.0,64.7,2.0,16.0,5.03,4.29
1980,1980-11-30,25.113000000000003,16.0,32.0,50.0,235.0,1.0,0.0,84.8,,,7.34,7.97
1980,1980-12-07,25.12,18.0,36.0,50.0,227.0,1.0,0.0,79.3,1.0,7.0,6.31,6.86
1980,1980-12-14,25.127,13.0,37.0,35.14,186.0,1.0,2.0,38.8,2.0,13.0,5.03,3.14
1980,1980-12-20,25.133000000000003,16.0,29.0,55.17,350.0,1.0,2.0,81.1,1.0,6.0,12.07,9.66
1981,1981-09-05,26.026999999999997,8.0,22.0,36.36,108.0,1.0,0.0,68.0,0.0,0.0,4.91,5.82
1981,1981-09-13,26.035,20.0,43.0,46.51,294.0,0.0,0.0,69.3,1.0,8.0,6.84,6.84
1981,1981-09-20,26.041999999999998,17.0,40.0,42.5,324.0,1.0,2.0,58.7,1.0,15.0,8.1,6.35
1981,1981-09-27,26.049,17.0,30.0,56.67,162.0,0.0,0.0,71.8,1.0,8.0,5.4,5.4
1981,1981-10-04,26.055999999999997,13.0,29.0,44.83,168.0,4.0,1.0,88.8,1.0,6.0,5.79,7.0
1981,1981-10-11,26.063000000000002,15.0,23.0,65.22,199.0,1.0,1.0,88.9,1.0,0.0,8.65,7.57
1981,1981-10-18,26.07,16.0,30.0,53.33,335.0,2.0,0.0,115.3,2.0,8.0,11.17,12.5
1981,1981-10-25,26.076999999999998,19.0,45.0,42.22,243.0,0.0,3.0,32.0,1.0,5.0,5.4,2.4
1981,1981-11-01,26.084,9.0,21.0,42.86,192.0,2.0,1.0,87.8,1.0,9.0,9.14,8.9
1981,1981-11-08,26.090999999999998,13.0,27.0,48.15,154.0,1.0,0.0,78.3,1.0,4.0,5.7,6.44
1981,1981-11-15,26.098000000000003,14.0,31.0,45.16,189.0,0.0,2.0,38.2,3.0,21.0,6.1,3.19
1981,1981-11-22,26.105,12.0,23.0,52.17,148.0,1.0,1.0,68.7,1.0,11.0,6.43,5.35
1981,1981-11-29,26.112,16.0,24.0,66.67,218.0,2.0,1.0,105.9,0.0,0.0,9.08,8.88
1981,1981-12-06,26.119,19.0,29.0,65.52,336.0,2.0,0.0,127.9,1.0,9.0,11.59,12.97
1981,1981-12-13,26.125999999999998,22.0,35.0,62.86,321.0,1.0,2.0,78.4,3.0,31.0,9.17,7.17
1981,1981-12-20,26.133000000000003,8.0,19.0,42.11,172.0,1.0,0.0,92.4,0.0,0.0,9.05,10.11
1982,1982-09-12,27.034000000000002,21.0,38.0,55.26,290.0,1.0,3.0,55.8,0.0,0.0,7.63,4.61
1982,1982-09-19,27.041,14.0,27.0,51.85,199.0,1.0,0.0,88.3,2.0,22.0,7.37,8.11
1982,1982-11-21,27.104,23.0,42.0,54.76,258.0,0.0,0.0,73.3,1.0,11.0,6.14,6.14
1982,1982-11-29,27.112,7.0,19.0,36.84,81.0,0.0,0.0,50.5,2.0,20.0,4.26,4.26
1982,1982-12-05,27.118000000000002,15.0,24.0,62.5,192.0,1.0,0.0,101.4,1.0,14.0,8.0,8.83
1982,1982-12-12,27.125,18.0,38.0,47.37,204.0,1.0,2.0,50.8,0.0,0.0,5.37,3.53
1982,1982-12-19,27.131999999999998,20.0,36.0,55.56,204.0,2.0,3.0,55.8,0.0,0.0,5.67,3.03
1982,1982-12-26,27.139,21.0,34.0,61.76,276.0,1.0,1.0,84.9,2.0,19.0,8.12,7.38
1982,1983-01-02,27.146,25.0,49.0,51.02,367.0,2.0,2.0,72.4,3.0,42.0,7.49,6.47
1986,1986-11-23,31.105999999999998,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1987,1987-09-13,32.035,17.0,27.0,62.96,272.0,2.0,0.0,121.2,1.0,8.0,10.07,11.56
1987,1987-09-20,32.042,18.0,30.0,60.0,198.0,3.0,2.0,85.1,1.0,8.0,6.6,5.6
1987,1987-11-15,32.098,11.0,18.0,61.11,161.0,2.0,0.0,127.3,1.0,6.0,8.94,11.17
1987,1987-11-23,32.106,24.0,46.0,52.17,308.0,2.0,1.0,78.9,4.0,31.0,6.7,6.59
1987,1987-12-26,32.139,11.0,22.0,50.0,217.0,2.0,2.0,77.3,0.0,0.0,9.86,7.59
1988,1988-09-05,33.027,24.0,50.0,48.0,288.0,2.0,0.0,79.4,3.0,19.0,5.76,6.56
1988,1988-09-11,33.033,30.0,52.0,57.69,430.0,2.0,1.0,89.4,1.0,8.0,8.27,8.17
1988,1988-09-18,33.04,12.0,23.0,52.17,142.0,0.0,2.0,35.1,1.0,7.0,6.17,2.26
1988,1988-10-23,33.075,25.0,42.0,59.52,225.0,2.0,1.0,80.0,0.0,0.0,5.36,5.24
1988,1988-10-30,33.082,15.0,31.0,48.39,188.0,0.0,1.0,54.2,3.0,33.0,6.06,4.61
1988,1988-11-06,33.089,20.0,28.0,71.43,299.0,2.0,1.0,115.0,0.0,0.0,10.68,10.5
1988,1988-11-13,33.096,6.0,19.0,31.58,69.0,0.0,1.0,21.6,1.0,10.0,3.63,1.26
1988,1988-11-21,33.104,27.0,41.0,65.85,271.0,3.0,2.0,88.6,0.0,0.0,6.61,5.88
1988,1988-12-04,33.117,20.0,32.0,62.5,206.0,1.0,0.0,91.4,0.0,0.0,6.44,7.06
1988,1988-12-11,33.124,17.0,40.0,42.5,274.0,1.0,2.0,53.5,0.0,0.0,6.85,5.1
1988,1988-12-17,33.13,17.0,22.0,77.27,217.0,2.0,1.0,118.9,1.0,11.0,9.86,9.64
1989,1989-11-05,34.088,28.0,52.0,53.85,296.0,0.0,2.0,54.6,0.0,0.0,5.69,3.96
1989,1989-11-12,34.095,14.0,24.0,58.33,161.0,0.0,0.0,78.6,1.0,6.0,6.71,6.71
1989,1989-12-03,34.116,2.0,5.0,40.0,22.0,0.0,1.0,14.2,0.0,0.0,4.4,-4.6
1989,1989-12-17,34.13,7.0,12.0,58.33,106.0,1.0,0.0,115.3,1.0,4.0,8.83,10.5
